park_name,total_count,walk_count,run_count,cycle_count,paddle_count
Addison Blockhouse Historic State Park,0,0,0,0,0
Alafia River State Park,256,54,58,144,0
Alfred B. Maclay Gardens State Park,149,23,114,11,1
Allen David Broussard Catfish Creek Preserve State Park,1,1,0,0,0
Amelia Island State Park,2,2,0,0,0
Anastasia State Park,40,9,14,17,0
Anclote Key Preserve State Park,10,6,4,0,0
Anderson's Landing (Managed by Manatee Springs State Park),0,0,0,0,0
Atlantic Ridge Preserve State Park,0,0,0,0,0
Avalon State Park,1,0,0,1,0
Bahia Honda State Park,20,4,11,3,2
Bald Point State Park,1,0,0,1,0
Big Lagoon State Park,35,7,21,7,0
Big Shoals State Park,11,3,2,6,0
Big Talbot Island State Park,11,4,2,5,0
Bill Baggs Cape Florida State Park,80,24,19,37,0
Blackwater River State Park,18,4,8,6,0
Blue Spring State Park,31,14,8,9,0
Bulow Creek State Park,28,13,13,2,0
Bulow Plantation Ruins Historic State Park,1,0,0,1,0
Caladesi Island State Park,9,3,2,3,1
Camp Helen State Park,4,4,0,0,0
Cayo Costa State Park,16,7,9,0,0
Cedar Key Museum State Park,0,0,0,0,0
Cedar Key Scrub State Reserve,0,0,0,0,0
Charlotte Harbor Preserve State Park,10,1,8,1,0
Cockroach Bay Preserve State Park,0,0,0,0,0
Collier-Seminole State Park,13,1,9,3,0
Colt Creek State Park,20,6,14,0,0
Constitution Convention Museum State Park,0,0,0,0,0
Crystal River Archaeological State Park,0,0,0,0,0
Crystal River Preserve State Park,8,2,5,1,0
Curry Hammock State Park,10,5,5,0,0
Dade Battlefield Historic State Park,3,3,0,0,0
Dagny Johnson Key Largo Hammock Botanical State Park,12,3,7,2,0
De Leon Springs State Park,11,5,1,5,0
Deer Lake State Park,9,2,6,1,0
Delnor-Wiggins Pass State Park,14,0,12,2,0
Don Pedro Island State Park,0,0,0,0,0
Dr. Julian G. Bruce St. George Island State Park,15,6,5,4,0
Dr. Von D. Mizell-Eula Johnson State Park,54,6,39,9,0
Dudley Farm Historic State Park,0,0,0,0,0
Dunns Creek State Park,2,0,2,0,0
Econfina River State Park,1,0,0,0,1
Eden Gardens State Park,7,6,1,0,0
Edward Ball Wakulla Springs State Park,16,4,11,1,0
Egmont Key State Park,2,1,1,0,0
Ellie Schiller Homosassa Springs Wildlife State Park,8,2,6,0,0
Estero Bay Preserve State Park,23,11,11,1,0
Fakahatchee Strand Preserve State Park,12,4,6,2,0
Falling Waters State Park,1,1,0,0,0
Fanning Springs State Park,1,0,0,1,0
Faver-Dykes State Park,1,0,1,0,0
Fernandina Plaza Historic State Park,0,0,0,0,0
Florida Caverns State Park,3,3,0,0,0
Forest Capital Museum State Park,0,0,0,0,0
Fort Clinch State Park,69,14,15,40,0
Fort Cooper State Park,0,0,0,0,0
Fort George Island Cultural State Park,2,0,1,1,0
Fort Mose Historic State Park,1,0,0,1,0
Fort Pierce Inlet State Park,1,1,0,0,0
Fort Zachary Taylor Historic State Park,11,2,5,4,0
Fred Gannon Rocky Bayou State Park,11,5,6,0,0
Gamble Rogers Memorial State Recreation Area at Flagler Beach,5,0,4,1,0
Gasparilla Island State Park,8,3,1,4,0
George Crady Bridge Fishing Pier State Park,6,0,1,5,0
Grayton Beach State Park,53,20,14,19,0
Haw Creek Preserve State Park,0,0,0,0,0
Henderson Beach State Park,43,6,29,8,0
Highlands Hammock State Park,30,10,10,10,0
Hillsborough River State Park,56,26,20,10,0
Honeymoon Island State Park,149,106,34,9,0
Hontoon Island State Park,4,3,0,1,0
Hugh Taylor Birch State Park,64,15,33,16,0
Ichetucknee Springs State Park,1,1,0,0,0
Indian Key Historic State Park,0,0,0,0,0
Indian River Lagoon Preserve State Park,1,1,0,0,0
John D. MacArthur Beach State Park,9,4,1,1,3
John Gorrie Museum State Park,0,0,0,0,0
John Pennekamp Coral Reef State Park,18,5,3,9,1
Jonathan Dickinson State Park,74,15,20,36,3
Judah P. Benjamin Confederate Memorial at Gamble Plantation Historic State Park,0,0,0,0,0
Kissimmee Prairie Preserve State Park,0,0,0,0,0
Koreshan State Park,11,3,7,1,0
Lafayette Blue Springs State Park,0,0,0,0,0
Lake Griffin State Park,0,0,0,0,0
Lake Jackson Mounds Archaeological State Park,5,4,1,0,0
Lake June-in-Winter Scrub Preserve State Park,0,0,0,0,0
Lake Kissimmee State Park,8,5,0,3,0
Lake Louisa State Park,91,18,33,40,0
Lake Manatee State Park,11,4,6,1,0
Lake Talquin State Park,1,0,1,0,0
Letchworth-Love Mounds Archaeological State Park,0,0,0,0,0
Lignumvitae Key Botanical State Park,1,0,1,0,0
Little Manatee River State Park,6,3,2,1,0
Little Talbot Island State Park,73,12,8,53,0
Long Key State Park,12,3,4,4,1
Lovers Key State Park,55,16,35,3,1
Lower Wekiva River Preserve State Park,6,2,3,1,0
Madison Blue Spring State Park,1,0,1,0,0
Manatee Springs State Park,4,3,0,1,0
Marjorie Harris Carr Cross Florida Greenways State Recreation and Conservation Area,3,3,0,0,0
Marjorie Kinnan Rawlings Historic State Park,0,0,0,0,0
Mike Roess Gold Head Branch State Park,12,4,6,2,0
Mound Key Archaeological State Park,0,0,0,0,0
Myakka River State Park,69,24,11,32,2
Natural Bridge Battlefield Historic State Park,0,0,0,0,0
North Peninsula State Park,7,0,3,4,0
Ochlockonee River State Park,1,1,0,0,0
Okeechobee Battlefield Historic State Park,0,0,0,0,0
O'Leno State Park,15,9,3,3,0
Oleta River State Park,311,19,52,240,0
Olustee Battlefield Historic State Park,1,0,0,1,0
Orman House Historic State Park,0,0,0,0,0
Oscar Scherer State Park,32,10,11,11,0
Paynes Creek Historic State Park,1,1,0,0,0
Paynes Prairie Preserve State Park,87,22,26,39,0
Perdido Key State Park,4,2,1,1,0
Ponce de Leon Springs State Park,2,1,1,0,0
Pumpkin Hill Creek Preserve State Park,7,6,1,0,0
Rainbow Springs State Park,9,2,6,0,1
Ravine Gardens State Park,88,59,27,2,0
River Rise Preserve State Park,4,2,1,1,0
Rock Springs Run State Reserve,2,0,1,1,0
Ruth B. Kirby Gilchrist Blue Springs State Park,0,0,0,0,0
San Felasco Hammock Preserve State Park,199,21,42,136,0
San Pedro Underwater Archaeological Preserve State Park,0,0,0,0,0
Savannas Preserve State Park,27,11,16,0,0
Seabranch Preserve State Park,15,1,5,9,0
Sebastian Inlet State Park,13,2,7,4,0
Silver Springs State Park,23,13,8,1,1
Skyway Fishing Pier State Park,1,0,1,0,0
South Fork State Park,0,0,0,0,0
St. Andrews State Park,117,33,47,37,0
St. Lucie Inlet Preserve State Park,0,0,0,0,0
St. Marks River Preserve State Park,1,0,1,0,0
St. Sebastian River Preserve State Park,10,4,4,2,0
Stephen Foster Folk Culture Center State Park,10,8,1,1,0
Stump Pass Beach State Park,6,3,2,0,1
Suwannee River State Park,7,3,2,2,0
T.H. Stone Memorial St. Joseph Peninsula State Park,40,30,4,6,0
Tarkiln Bayou Preserve State Park,8,6,2,0,0
Terra Ceia Preserve State Park,0,0,0,0,0
The Barnacle Historic State Park,0,0,0,0,0
Three Rivers State Park,7,0,5,2,0
Tomoka State Park,16,6,3,6,1
Topsail Hill Preserve State Park,103,35,30,38,0
Torreya State Park,9,7,1,1,0
Troy Spring State Park,0,0,0,0,0
Waccasassa Bay Preserve State Park,0,0,0,0,0
Washington Oaks Gardens State Park,8,6,0,2,0
Weeki Wachee Springs State Park,4,0,2,1,1
Wekiwa Springs State Park,174,79,48,46,1
Werner-Boyce Salt Springs State Park,6,5,1,0,0
Wes Skiles Peacock Springs State Park,0,0,0,0,0
Windley Key Fossil Reef Geological State Park,0,0,0,0,0
Wingate Creek State Park,0,0,0,0,0
Ybor City Museum State Park,0,0,0,0,0
Yellow Bluff Fort Historic State Park,0,0,0,0,0
Yellow River Marsh Preserve State Park,0,0,0,0,0
Yulee Sugar Mill Ruins Historic State Park,0,0,0,0,0
