latitude,longitude,buffer,Park_Name
27.18072296,-82.46023055,2200,Oscar Scherer State Park
30.31055863,-86.06508623,2700,Deer Lake State Park
30.55231776,-84.9211024,12500,Torreya State Park
25.97564594,-81.60043174,4900,Collier-Seminole State Park
29.40855152,-81.0967502,2400,North Peninsula State Park
29.31940107,-81.08304366,3700,Tomoka State Park
27.94070149,-81.36853466,4600,Lake Kissimmee State Park
27.47845165,-82.33724564,2700,Lake Manatee State Park
30.00330901,-84.48639928,2000,Ochlockonee River State Park
30.21846892,-82.38253485,2300,Olustee Battlefield Historic State Park
27.1342611,-80.14022232,5100,St. Lucie Inlet Preserve State Park
25.72408852,-80.24173119,1100,The Barnacle Historic State Park
28.28528116,-82.03915219,4100,Colt Creek State Park
30.37139119,-86.12261271,800,Eden Gardens State Park
26.07527532,-80.11165249,2200,Dr. Von D. Mizell-Eula Johnson State Park
30.27296356,-85.99231451,900,Camp Helen State Park
27.82097223,-80.5618243,8400,St. Sebastian River Preserve State Park
27.70200429,-82.4931966,5003.793181,Cockroach Bay Preserve State Park
26.43526577,-81.81669185,800,Koreshan State Park
28.12184109,-82.25777033,5700,Hillsborough River State Park
29.72503488,-84.98559696,80,John Gorrie Museum State Park
28.94798284,-81.34112962,3700,Blue Spring State Park
30.33194219,-82.77880015,2100,Stephen Foster Folk Culture Center State Park
28.77224311,-81.45349265,6600,Rock Springs Run State Reserve
26.02119323,-81.42201204,17000,Fakahatchee Strand Preserve State Park
24.95711924,-80.59511216,1100,Windley Key Fossil Reef Geological State Park
29.37869967,-81.11561727,7100,Bulow Creek State Park
29.5865694,-82.93318914,1000,Fanning Springs State Park
28.31740561,-82.72272736,3700,Werner-Boyce Salt Springs State Park
30.00285041,-82.99710476,600,Troy Spring State Park
29.73107603,-84.99100967,240,Orman House Historic State Park
29.54618219,-81.59851318,4500,Dunns Creek State Park
24.81700818,-80.80826314,3300,Long Key State Park
29.82078229,-85.40563072,9000,T.H. Stone Memorial St. Joseph Peninsula State Park
30.13161327,-83.13636725,1600,Wes Skiles Peacock Springs State Park
28.80071629,-82.58415776,900,Ellie Schiller Homosassa Springs Wildlife State Park
30.42497443,-81.43063522,1900,Fort George Island Cultural State Park
27.29559541,-81.41932978,2200,Lake June-in-Winter Scrub Preserve State Park
27.21303373,-80.78486661,700,Okeechobee Battlefield Historic State Park
30.50107092,-84.31463158,900,Lake Jackson Mounds Archaeological State Park
29.97560043,-82.7629585,8800,Ichetucknee Springs State Park
24.85500012,-80.67666664,1000,San Pedro Underwater Archaeological Preserve State Park
29.15221221,-83.04898396,400,Cedar Key Museum State Park
29.14098861,-81.37214507,1600,De Leon Springs State Park
29.38607168,-81.4230176,4000,Haw Creek Preserve State Park
27.59780684,-82.56213804,2900,Terra Ceia Preserve State Park
29.83691486,-81.95011604,2700,Mike Roess Gold Head Branch State Park
24.74398482,-80.98934301,5000,Curry Hammock State Park
27.13532635,-80.1682566,2200,Seabranch Preserve State Park
29.92947788,-81.32255563,500,Fort Mose Historic State Park
30.72842543,-85.52953662,800,Falling Waters State Park
29.68701518,-81.26500706,5000,Faver-Dykes State Park
30.68868325,-81.45656314,45,Fernandina Plaza Historic State Park
29.43768131,-81.1108415,610,Gamble Rogers Memorial State Recreation Area at Flagler Beach
30.08017024,-83.56836534,340,Forest Capital Museum State Park
30.70883938,-85.92742596,1610,Ponce de Leon Springs State Park
28.80822416,-82.30410797,1400,Fort Cooper State Park
26.90578739,-82.34465439,1100,Stump Pass Beach State Park
27.93559268,-80.50217316,2200,Indian River Lagoon Preserve State Park
27.52785771,-82.52682637,700,Judah P. Benjamin Confederate Memorial at Gamble Plantation Historic State Park
27.00856307,-80.13896443,5500,Jonathan Dickinson State Park
29.70696333,-82.39520193,500,Devil's Millhopper Geological State Park
27.45040196,-81.53500686,5300,Highlands Hammock State Park
27.67326213,-82.37104431,3700,Little Manatee River State Park
28.96532866,-81.36301332,2300,Hontoon Island State Park
29.87154992,-82.60078719,4800,River Rise Preserve State Park
27.61977459,-81.81032544,1100,Paynes Creek Historic State Park
27.96195843,-82.43866509,70,Ybor City Museum State Park
28.90400697,-81.38768058,11000,Lower Wekiva River Preserve State Park
29.49647262,-82.97132791,3500,Manatee Springs State Park
27.22629509,-82.26660432,12000,Myakka River State Park
28.86174694,-81.89375121,1500,Lake Griffin State Park
26.42257082,-81.86404474,600,Mound Key Archaeological State Park
30.3847213,-86.44241983,1300,Henderson Beach State Park
29.65988599,-82.54266793,900,Dudley Farm Historic State Park
24.90358628,-80.68440569,5800,Lignumvitae Key Botanical State Park
27.58685056,-81.05988097,16000,Kissimmee Prairie Preserve State Park
30.51792323,-83.99030763,800,Letchworth-Love Mounds Archaeological State Park
26.14534966,-80.10499526,900,Hugh Taylor Birch State Park
30.14869123,-83.2356564,2700,Lafayette Blue Springs State Park
30.3603901,-87.39175415,5400,Tarkiln Bayou Preserve State Park
25.91651012,-80.13871061,2000,Oleta River State Park
30.47008906,-81.51457267,4200,Pumpkin Hill Creek Preserve State Park
29.63272515,-81.64140992,1000,Ravine Gardens State Park
30.50021079,-87.06740011,4000,Yellow River Marsh Preserve State Park
30.70737499,-86.87560024,1300,Blackwater River State Park
29.43455253,-81.14267294,1000,Bulow Plantation Ruins Historic State Park
24.88322903,-80.67793258,2500,Indian Key Historic State Park
29.79324098,-85.29849918,400,Constitution Convention Museum State Park
28.90782359,-82.63683008,1200,Crystal River Archaeological State Park
28.6522357,-82.12910895,510,Dade Battlefield Historic State Park
26.73087159,-82.26107348,1600,Gasparilla Island State Park
26.85218518,-82.30267263,1400,Don Pedro Island State Park
30.23853625,-84.29994972,7700,Edward Ball Wakulla Springs State Park
30.51824573,-81.45759476,1200,George Crady Bridge Fishing Pier State Park
25.67551726,-80.1590652,1300,Bill Baggs Cape Florida State Park
27.5659084,-82.59219439,200,Madira Bickel Mound State Archaeological Site
30.52857963,-84.26016627,2400,Alfred B. Maclay Gardens State Park
29.88557826,-81.27906235,3100,Anastasia State Park
30.33899824,-82.70855755,3900,Big Shoals State Park
28.17721675,-82.84013718,8700,Anclote Key Preserve State Park
29.33219132,-81.09560943,800,Addison Blockhouse Historic State Park
30.31528357,-87.41068581,1700,Big Lagoon State Park
27.54391607,-80.32473425,1600,Avalon State Park
27.9774725,-81.45280397,7800,Allen David Broussard Catfish Creek Preserve State Park
29.92935546,-84.35804362,3500,Bald Point State Park
26.39119753,-81.86913073,2000,Lovers Key State Park
24.66633325,-81.26235282,2300,Bahia Honda State Park
30.33609852,-86.15776736,3900,Grayton Beach State Park
27.8601644,-80.45219867,3300,Sebastian Inlet State Park
27.61617079,-82.25155569,3500,South Fork State Park
27.0935592,-80.21312527,4500,Atlantic Ridge Preserve State Park
30.2919897,-87.46873035,1900,Perdido Key State Park
29.5771351,-82.3075426,8900,Paynes Prairie Preserve State Park
28.74894223,-81.48035922,8800,Wekiwa Springs State Park
26.82614568,-80.04277606,1500,John D. MacArthur Beach State Park
26.78528275,-82.13661781,29000,Charlotte Harbor Preserve State Park
30.06936416,-83.92083289,4800,Econfina River State Park
30.69400986,-81.47296142,6600,Fort Clinch State Park
28.4470319,-81.74113947,15000,Lake Louisa State Park
30.40174822,-83.16078359,3500,Suwannee River State Park
28.78367291,-82.60757212,120,Yulee Sugar Mill Ruins Historic State Park
30.39962728,-81.5562337,80,Yellow Bluff Fort Historic State Park
29.63406888,-81.20569462,1400,Washington Oaks Gardens State Park
30.15210671,-84.21033859,300,San Marcos de Apalache Historic State Park
29.71997785,-84.74919971,7700,Dr. Julian G. Bruce St. George Island State Park
28.85826323,-82.64896699,12000,Crystal River Preserve State Park
30.04513236,-82.72841053,1400,Ichetucknee Trace
30.39164571,-84.08446488,4300,St. Marks River Preserve State Park
30.4961079,-86.42646998,1400,Fred Gannon Rocky Bayou State Park
30.73945212,-84.92424057,2100,Three Rivers State Park
28.07508069,-82.82870723,3100,Honeymoon Island State Park
28.02101606,-82.8140343,3500,Caladesi Island State Park
29.74079605,-82.44994641,4900,San Felasco Hammock Preserve State Park
27.61953738,-82.65469317,5200,Skyway Fishing Pier State Park
29.91355826,-82.57778468,3100,O'Leno State Park
30.43604456,-84.53334254,1700,Lake Talquin State Park
29.32977444,-83.14377124,100,Anderson's Landing (Managed by Manatee Springs State Park)
29.48084017,-82.15861222,900,Marjorie Kinnan Rawlings Historic State Park
27.31616759,-80.28680684,12000,Savannas Preserve State Park
30.36756225,-86.29033904,3100,Topsail Hill Preserve State Park
29.20030723,-83.03018713,5400,Cedar Key Scrub State Reserve
29.14892095,-82.83160036,18000,Waccasassa Bay Preserve State Park
27.48748898,-80.3086317,2300,Fort Pierce Inlet State Park
30.47864816,-83.24523482,500,Madison Blue Spring State Park
27.44646688,-82.14312395,1600,Wingate Creek State Park
24.54654336,-81.81056154,500,Fort Zachary Taylor Historic State Park
30.30068727,-84.13506529,4100,Natural Bridge Battlefield Historic State Park
27.77344427,-82.12010071,4500,Alafia River State Park
30.81285558,-85.23395362,2400,Florida Caverns State Park
29.82757887,-82.6811974,1400,Ruth B. Kirby Gilchrist Blue Springs State Park
26.46469497,-81.89171647,14000,Estero Bay Preserve State Park
30.5204134,-81.43925061,1000,Amelia Island State Park
30.45455438,-81.41529352,3800,Little Talbot Island State Park
30.4795448,-81.43954569,4100,Big Talbot Island State Park
26.28146984,-81.82842452,1000,Delnor-Wiggins Pass State Park
27.59071632,-82.76140948,1600,Egmont Key State Park
28.52003278,-82.58432817,2400,Weeki Wachee Springs State Park
29.08366278,-82.42597065,3300,Rainbow Springs State Park
25.24840318,-80.31770233,9200,Dagny Johnson Key Largo Hammock Botanical State Park
25.18027186,-80.32642144,22000,John Pennekamp Coral Reef State Park
30.69040177,-87.0257316,7400,Blackwater Heritage State Trail
29.20340069,-82.02169982,4100,Silver Springs State Park
29.4663933,-82.28188613,2000,Price's Scrub State Park
30.11853889,-85.72030325,4800,St. Andrews State Park
26.65991765,-82.23997126,9200,Cayo Costa State Park
